sentId,sentence,label
20824800-w-lss012611-0-title,Low socioeconomic status increases depression risk in rheumatoid arthritis patients,3
20824800-w-lss012611-1-sentence,A recent study confirmed that low socioeconomic status (SES) is associated with higher risk of depressive symptoms in patients with rheumatoid arthritis (RA).,1
20824800-w-lss012611-2-sentence,"Statistically significant differences in race, public versus tertiary-care hospital, disability and medications were found between depressed and non-depressed patients.",1
20825768-nch-nns011711-0-title,New national study finds 11 500 emergency department visits related to snow shoveling each year,0
20825768-nch-nns011711-1-sentence,"Known by many as one of the least favorite wintertime chores, shoveling snow can also be hazardous and is associated with many serious, even fatal events among both adults and children.",1
20825768-nch-nns011711-2-sentence,"A recent study conducted by researchers at the Center for Injury Research and Policy of The Research Institute at Nationwide Children's Hospital found that an average of 11,500 snow shoveling-related injuries and medical emergencies were treated in U.S. emergency departments each year from 1990 to 2006.",0
20936662-uhcm-los020811-0-title,Lack of sleep found to be a new risk factor for colon cancer,1
20936662-uhcm-los020811-1-sentence,"An inadequate amount of sleep has been associated with higher risks of obesity, heart disease, diabetes, and death.",1
20936662-uhcm-los020811-2-sentence,Now colon cancer can be added to the list.,0
20942849-lu-rob053011-0-title,Risk of blood clots in veins hereditary,1
20942849-lu-rob053011-1-sentence,Venous thromboembolism (VTE) is the third most common type of cardiovascular disease after coronary heart disease and stroke.,0
20942849-lu-rob053011-2-sentence,Researchers at the Centre for Primary Health Care Research in Malm&#246; have mapped the significance of hereditary factors for venous thromboembolism in the entire Swedish population by studying the risk of VTE in children of parents with VTE compared with the children of parents who have not had VTE.,3
21061401-mc-mcr021811-0-title,Mayo Clinic researchers confirm value of therapeutic hypothermia after cardiac arrest,3
21061401-mc-mcr021811-1-sentence,Mayo Clinic researchers confirmed that patients who receive therapeutic hypothermia after resuscitation from cardiac arrest have favorable chances of surviving the event and recovering good functional status.,1
21061401-mc-mcr021811-2-sentence,"In therapeutic hypothermia, a patient's body temperature is cooled to 33 degrees Celsius following resuscitation from cardiac arrest, in order to slow the brain's metabolism and protect the brain against the damage initiated by the lack of blood flow and oxygenation.",0
21164164-uom-msf092811-0-title,University of Missouri study finds risk factors for cat cancer  could have human implications,0
21164164-uom-msf092811-2-sentence,"""We are looking for patterns of cancer development in animals, so we can find common risk factors,"" said Kim Selting, associate teaching professor of oncology at the MU College of Veterinary Medicine.",1
21166753-w-irs080811-0-title,Improved radical surgery techniques provide positive outcomes for bladder cancer patients,3
21166753-w-irs080811-1-sentence,"Bladder cancer patients who have radical surgery at university hospitals can benefit from excellent local control of the disease, acceptable clinical outcomes and low death rates, according to research in the August issue of the urology journal BJUI.",3
21166753-w-irs080811-2-sentence,"Researchers studied 2,287 patients who had radical cystectomy surgery, where the bladder is removed, together with nearby tissue and organs as required.",0
21173198-bmj-hfp011411-0-title,Heart failure patients twice as likely to die if admitted to general wards,1
21173198-bmj-hfp011411-1-sentence,"Heart failure patients admitted to general wards are twice as likely to die as those admitted to cardiology wards, shows a national audit of the treatment of the condition, published online in the journal Heart.",1
21173198-bmj-hfp011411-2-sentence,"Women fared worse than men when it comes to appropriate investigations and treatment, the findings suggest, although death rates were similar.",1
21178851-uomh-scl120810-0-title,Surgery complications linked to chemotherapy delay  U M study finds,1
21178851-uomh-scl120810-1-sentence,"Patients who have complications after colorectal cancer surgery are less likely to get chemotherapy, even when it is clearly recommended for their diagnosis, a new study from the University of Michigan Comprehensive Cancer Center finds.",1
21178851-uomh-scl120810-2-sentence,"In addition, patients with complications were more than twice as likely to have their chemotherapy delayed for more than 120 days after diagnosis or two months after surgery, which is considered the appropriate timeframe for receiving chemotherapy.",1
21186954-mali-htc022511-0-title,Hashimoto s thyroiditis can affect quality of life,3
21186954-mali-htc022511-1-sentence,"Hashimoto's thyroiditis (HT), an inflammatory disorder of the thyroid, is the most common cause of hypothyroidism, but a study has suggested that even when thyroid function is normal, HT may increase symptoms and decrease quality of life, as described in an article in Thyroid, a peer-reviewed journal published by Mary Ann Liebert, Inc. (www.liebertpub.com).",2
21186954-mali-htc022511-2-sentence,Thyroid is the Official Journal of the American Thyroid Association (ATA).,0
21193332-wsw-rth031011-0-title,Referral to high volume hospitals for operations fails to improve outcomes statewide,3
21193332-wsw-rth031011-1-sentence,"Referring patients to hospitals that have the largest volume of surgical procedures does not necessarily lead to improved outcomes for the overall population, according to the results of a new study in the February issue of the Journal of the American College of Surgeons.",3
21193332-wsw-rth031011-2-sentence,"The findings of studies that suggest the higher the volume of specialty surgical procedures performed at any given hospital, the better that hospital's outcomes will be, has resulted in calls for volume-based referrals.",0
21214344-mali-srg011311-0-title,Suicide risk greater for people living at higher elevations,1
21214344-mali-srg011311-1-sentence,"Twenty years of mortality data from counties across the United States led to the striking discovery that living at higher altitudes may be a risk factor for suicide, according to a provocative study published online ahead of print in High Altitude Medicine & Biology, a peer-reviewed journal published by Mary Ann Liebert, Inc.",1
21214344-mali-srg011311-2-sentence,The article is available free online.,0
21220354-mc-nsa020111-0-title,New study alters long held beliefs about shingles,0
21220354-mc-nsa020111-1-sentence,"For decades, medical wisdom about shingles has been that it's a once-in-a-lifetime experience.",0
21220354-mc-nsa020111-2-sentence,"The commonly-held belief is that patients are protected from a recurrence of the herpes zoster virus, which causes shingles, after one episode.",0
21224457-kp-sva010611-0-title,Shingles vaccine associated with 55 percent reduced risk of disease,1
21224457-kp-sva010611-1-sentence,"Receiving the herpes zoster vaccine was associated with a 55 percent reduced risk of developing shingles, according to a Kaiser Permanente study of 300,000 people that appears in the current issue of the Journal of the American Medical Association.",1
21224457-kp-sva010611-2-sentence,"This retrospective study observed the outcomes of the effectiveness of the herpes zoster vaccine in a large, diverse population of men and women ages 60 years and older.",0
21244571-w-vdd051011-0-title,Vitamin D deficiency in pneumonia patients associated with increased mortality,1
21244571-w-vdd051011-1-sentence,A new study published in the journal Respirology reveals that adult patients admitted to the hospital with pneumonia are more likely to die if they have Vitamin D deficiency.,1
21244571-w-vdd051011-2-sentence,Vitamin D is known to be involved in the innate immune response to infection.,0
21245490-esoc-emf011711-0-title,Eating more fruit and vegetables is linked to a lower risk of dying from ischemic heart disease,1
21245490-esoc-emf011711-1-sentence,A European study investigating the links between diet and disease has found that people who consume more fruit and vegetables have a lower risk of dying from ischaemic heart disease - the most common form of heart disease and one of the leading causes of death in Europe.,1
21245490-esoc-emf011711-2-sentence,"However, the authors point out that a higher fruit and vegetable intake occurs among people with other healthy eating habits and lifestyles, and that these factors could also be associated with the lower risk of dying from IHD.",1
21247550-kp-bsb052411-0-title,Diabetes can be predicted 7 years before pregnancy with blood sugar and body weight,1
21247550-kp-bsb052411-1-sentence,"A woman's risk of developing diabetes during pregnancy can be identified up to seven years before she becomes pregnant based on routinely assessed measures of blood sugar and body weight, according to a Kaiser Permanente study published in the online issue of the American Journal of Obstetrics and Gynecology.",1
21247550-kp-bsb052411-2-sentence,"Researchers at the Kaiser Permanente Division of Research in Oakland, Calif., studied 580 ethnically diverse women who took part in a multiphasic health checkup at Kaiser Permanente Northern California between1984 and 1996.",0
21247780-wsw-nth040411-0-title,New tool helps surgeons predict patients  risk of complications after bariatric operations,1
21247780-wsw-nth040411-1-sentence,"A new risk calculator can predict the risk of postoperative complications occurring for individual bariatric surgery patients, according to a study published in the March issue of the Journal of the American College of Surgeons.",1
21247780-wsw-nth040411-2-sentence,The risk calculator will help in surgical decision-making and will help patients better understand what they can expect during recovery in order to prepare for a bariatric operation.,3
21254340-w-msf010611-0-title,Metabolic syndrome found in 52 percent of patients after liver transplantation,1
21254340-w-msf010611-1-sentence,"Researchers from Israel have determined that more than half of liver transplant recipients develop post-transplantation metabolic syndrome (PTMS), placing them at greater risk for cardiovascular disease.",1
